,appid,name,developer,publisher,price,year,duenos_promedio,rating_neto,rating_perc,Action,Free to Play,Strategy,Adventure,Indie,RPG,Casual,Simulation,Racing,Violent,Massively Multiplayer,Nudity,Sports,Early Access,Gore,Sexual Content,Target
11694,550390,Kingdom of Aurelia: Mystery of the Poisoned Dagger,Shaman Games Studio,Shaman Games Studio,5414,2016,10000.0,28,0.7413793103448281,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
11695,550400,Delicious - Emily's Hopes and Fears,Blue Giraffe,GameHouse,10839,2017,10000.0,28,0.911764705882353,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
11696,550440,Azkend 2: The World Beneath,10tons Ltd,10tons Ltd,6065,2017,10000.0,1,0.529411764705882,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
11697,550450,Sparkle Unleashed,10tons Ltd,10tons Ltd,6065,2016,10000.0,11,0.703703703703704,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
11698,550470,NosTale,"Entwell Co., Ltd.",Gameforge 4D GmbH,0,2017,350000.0,390,0.690802348336595,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
11699,550520,B. Braun Future Operating Room,NMY Mixed-Reality Communication GmbH,B. Braun,0,2016,10000.0,6,0.75,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
11700,550560,Chilie,Beckoning Cat,Simon Says: Play!,3027,2016,10000.0,7,1.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
11701,550580,Sticker Craft,One More Game,One More Game,857,2017,35000.0,51,0.8,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
11702,550590,Archaica: The Path of Light,Two Mammoths,Two Mammoths,11924,2017,10000.0,128,0.963768115942029,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
11703,550600,Sphere Complex,OC Game Studio,OC Game Studio,4329,2016,10000.0,0,0.5,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0
11704,550650,Black Squad,NS STUDIO,NS STUDIO,0,2017,7500000.0,22614,0.7525236733964621,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8
11705,550670,"What The Heck, Dude?",The_Kiddy,The_Kiddy,857,2017,150000.0,-61,0.38132295719844395,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
11706,550740,Battles of the Valiant Universe CCG,Silent Legends,Silent Legends,0,2017,10000.0,-6,0.375,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0
