"","appid","name","developer","publisher","price","year","duenos_promedio","rating_neto","rating_perc","Action","Free to Play","Strategy","Adventure","Indie","RPG","Casual","Simulation","Racing","Violent","Massively Multiplayer","Nudity","Sports","Early Access","Gore","Sexual Content"
"23145",888620,"Pilgrimage","Robbin Leung","Robbin Leung",5631,2018,10000,1,0.571428571428571,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"23146",888630,"Another Sight","Lunar Great Wall Studios","Fish Eagle",17349,2018,10000,60,0.884615384615385,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"23147",888640,"Lovestory","Gunval Team","Gunval Team",857,2018,10000,1,0.666666666666667,1,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0
"23148",888670,"Notified","Stellar Oasis","Stellar Oasis",0,2018,10000,-1,0.454545454545455,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"23149",888690,"Guess who ?","Easy game","Game for people",857,2018,35000,7,0.574468085106383,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"23150",888710,"Pitch Perfect Ear Training","Wholetone Games","Wholetone Games",4329,2018,10000,0,0.5,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
"23151",888740,"FortOfTheNight","BeconGamesCorp","BeconGamesCorp",2268,2018,10000,-1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
"23152",888750,"Seed of Amaranth","Veritenze LLC","Veritenze LLC",7801,2018,10000,2,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"23153",888760,"Dragonfly Chronicles","Marco Ayala Games","Marco Antonio Ayala Virrueta",6716,2018,10000,2,0.75,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"23154",888790,"Sabbat of the Witch","Yuzusoft","NekoNyan Ltd.",25812,2018,10000,519,0.996175908221797,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
"23155",888800,"S.F.77","mkaatr","mkaatr",0,2018,10000,7,0.684210526315789,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23156",888810,"Wetwork","Janis Circenis","Janis Circenis",7801,2018,10000,1,0.555555555555556,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
"23157",888900,"ZYX STORY","Project_lelz","Project_lelz",857,2018,10000,8,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0
"23158",888970,"MiniCar Race - <U+6781><U+54C1><U+98DE><U+8F66>2019 Mini","Beyond Games","Beyond Games",2268,2018,10000,-2,0.375,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0
"23159",888990,"<U+96E8><U+4E0A><U+304C><U+308A><U+306E><U+30CF><U+30CA><U+30D3><U+30A3> Ameagari no Hanaby","Enigmatic Network","Enigmatic Network",11924,2018,10000,30,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
"23160",889030,"Grand Kokoro - Episode 1","Studio Crown Crest","Studio Crown Crest",4329,2018,10000,2,0.75,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"23161",889040,"FPV Air 2","Flyleap Studios","Flyleap Studios",4329,2018,10000,54,0.8375,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"23162",889080,"Deity Empires","BaileyHausdorff Systems","BaileyHausdorff Systems",21147,2018,10000,39,0.953488372093023,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"23163",889100,"Pythagoras' Perpetual Motion Machine","Marudice","DLsite",7801,2018,10000,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"23164",889150,"IgKnight Food Fight","Ignite VR","Ignite VR",5631,2019,10000,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
"23165",889170,"Battle Royale Builder","Skeptika1","Skeptika1",2268,2019,10000,19,0.827586206896552,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
